scope,run,selector,spearman,pearson,dense_best_rank,k,contains_dense_best,dense_topk_overlap,dense_regret
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,current_selection,0.08203904703862534,-0.03045459986521535,31,4,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,current_selection,0.08203904703862534,-0.03045459986521535,31,8,False,1,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,current_selection,0.08203904703862534,-0.03045459986521535,31,16,False,5,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,current_selection,0.08203904703862534,-0.03045459986521535,31,32,True,17,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,proposal_exact,0.07151685611169337,0.03172877450710859,33,1,False,0,0.046875
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,proposal_exact,0.07151685611169337,0.03172877450710859,33,2,False,0,0.03125
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,proposal_exact,0.07151685611169337,0.03172877450710859,33,4,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,proposal_exact,0.07151685611169337,0.03172877450710859,33,8,False,1,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,proposal_exact,0.07151685611169337,0.03172877450710859,33,16,False,5,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,proposal_exact,0.07151685611169337,0.03172877450710859,33,32,False,16,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,default_exact,0.17131135183388455,0.15329126520124686,26,1,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,default_exact,0.17131135183388455,0.15329126520124686,26,2,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,default_exact,0.17131135183388455,0.15329126520124686,26,4,False,1,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,default_exact,0.17131135183388455,0.15329126520124686,26,8,False,2,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,default_exact,0.17131135183388455,0.15329126520124686,26,16,False,6,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,default_exact,0.17131135183388455,0.15329126520124686,26,32,True,19,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,reordered_exact,-0.03813098512301293,-0.10628856973139204,34,1,False,0,0.03125
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,reordered_exact,-0.03813098512301293,-0.10628856973139204,34,2,False,0,0.03125
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,reordered_exact,-0.03813098512301293,-0.10628856973139204,34,4,False,0,0.03125
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,reordered_exact,-0.03813098512301293,-0.10628856973139204,34,8,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,reordered_exact,-0.03813098512301293,-0.10628856973139204,34,16,False,4,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,reordered_exact,-0.03813098512301293,-0.10628856973139204,34,32,False,17,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,xml_exact,0.11816453158775303,0.14896760300993922,13,1,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,xml_exact,0.11816453158775303,0.14896760300993922,13,2,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,xml_exact,0.11816453158775303,0.14896760300993922,13,4,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,xml_exact,0.11816453158775303,0.14896760300993922,13,8,False,1,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,xml_exact,0.11816453158775303,0.14896760300993922,13,16,True,6,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,xml_exact,0.11816453158775303,0.14896760300993922,13,32,True,17,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_mean_exact,0.07151685611169337,0.03172877450710859,33,1,False,0,0.046875
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_mean_exact,0.07151685611169337,0.03172877450710859,33,2,False,0,0.03125
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_mean_exact,0.07151685611169337,0.03172877450710859,33,4,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_mean_exact,0.07151685611169337,0.03172877450710859,33,8,False,1,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_mean_exact,0.07151685611169337,0.03172877450710859,33,16,False,5,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_mean_exact,0.07151685611169337,0.03172877450710859,33,32,False,16,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_mean_lift,0.07151685611169337,0.03172877450710859,33,1,False,0,0.046875
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_mean_lift,0.07151685611169337,0.03172877450710859,33,2,False,0,0.03125
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_mean_lift,0.07151685611169337,0.03172877450710859,33,4,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_mean_lift,0.07151685611169337,0.03172877450710859,33,8,False,1,0.0
