suite,run,population,screen_prompts,n,best_screen_exact,base_screen_exact,delta_vs_base,best_candidate
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,108,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,109,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,110,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,111,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,112,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,113,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,114,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,115,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,116,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,117,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,118,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,119,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,120,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,121,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
