actual_sha256,adapter,candidate,check,expected_sha256,module,note,pass,tensor,trusted
2b39cc8d1664a8530e87a081e682fba172c61f5e65afb1a5e88e43120333fb36,randopt_seed1019282515_s0.0075_neg,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,,5e4fbbfa6774cb4686fe12389323ff711d9d741265b65563c34e79974e4d8c0b,model.layers.25.self_attn.v_proj,,False,lora_B,
108fe988c991743855adbec65a2c204b862bd0c8a85b99f7565ce679e1bd1602,randopt_seed1019282515_s0.0075_neg,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,,c6ab18e5c2a583298ba38a1a5ca5dd227bd5f61e1fd4354798b1197efe967f64,model.layers.26.self_attn.q_proj,,False,lora_A,
d51c1a4e2b8cfbd902b24120524a5f89ada30d489bdd7f95916558c3cc75d422,randopt_seed1019282515_s0.0075_neg,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,,4024429c2c3867b8000a2f5d6069ecdf0753e4bd30473092d4c5b0e02c2ae3d2,model.layers.26.self_attn.q_proj,,False,lora_B,
dfb44be56935f0aad940c84995a32d33cefc5761fdfe2453d52b57d771d5868a,randopt_seed1019282515_s0.0075_neg,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,,553f8d62a8b18747b84f8d5252013077aed42b616c808f3d60d955d4df713154,model.layers.26.self_attn.v_proj,,False,lora_A,
09050057c385fa95053b45abbfb2a90583b18bbc131ca87ba8af44463bcbd2a7,randopt_seed1019282515_s0.0075_neg,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,,09050057c385fa95053b45abbfb2a90583b18bbc131ca87ba8af44463bcbd2a7,model.layers.26.self_attn.v_proj,,True,lora_B,
4f36114bd7a5faf3d29ad81c2ca2cc138bfd1adcc7c7c7feb0bbf02cd5e3cbca,randopt_seed1019282515_s0.0075_neg,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,,4f36114bd7a5faf3d29ad81c2ca2cc138bfd1adcc7c7c7feb0bbf02cd5e3cbca,model.layers.27.self_attn.q_proj,,True,lora_A,
218494ab5d1a0135b3575a966fb5d37115464268a5e5e1ec62419eaa77760f66,randopt_seed1019282515_s0.0075_neg,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,,11879f895a22a7427ae90580f29d86550730193a03eb45b8ebe3512ad9ae4fb3,model.layers.27.self_attn.q_proj,,False,lora_B,
f40d6c18ee1b22ac87115cf34b263d6abf7799669b7b761ed0517de0424e202b,randopt_seed1019282515_s0.0075_neg,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,,00e029a746c88a5ebd08bf668cd53d121c5b4c5cf9e29dafa794847c12f52932,model.layers.27.self_attn.v_proj,,False,lora_A,
ebb5a0f533debf142a9f4b43d4e03a1015e87927ab40210e1e7849448b4fad76,randopt_seed1019282515_s0.0075_neg,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,,ebb5a0f533debf142a9f4b43d4e03a1015e87927ab40210e1e7849448b4fad76,model.layers.27.self_attn.v_proj,,True,lora_B,
,,0.0,output_diff.exact_disagreement_rate,,,,False,,0.0234375
,,0.0,output_diff.max_abs_exact_delta_by_candidate,,,,False,,0.125
,,0.0,output_diff.max_abs_cap_hit_delta_by_candidate,,,,False,,1.0
,,0.0,output_diff.max_abs_malformed_delta_by_candidate,,,,False,,0.5
,,0.99,output_diff.answer_equal_rate,,,,False,,0.67578125
