abs_score_delta,candidate,candidate_rank,peft_exact_mean,rank_delta,trusted_rank,vllm_exact_mean
0.03125,factor_gaussian_lora:seed1837932928:s0.0075:sign1,25.5,0.078125,18.0,7.5,0.046875
0.015625,factor_gaussian_lora:seed221822464:s0.0075:sign1,25.5,0.03125,0.5,25.0,0.046875
0.015625,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,25.5,0.0625,14.5,11.0,0.046875
0.015625,factor_gaussian_lora:seed283920945:s0.0075:sign-1,25.5,0.03125,0.5,25.0,0.046875
0.03125,factor_gaussian_lora:seed668789807:s0.0075:sign1,25.5,0.015625,14.0,39.5,0.046875
0.046875,factor_gaussian_lora:seed513262593:s0.0075:sign1,25.5,0.0,30.5,56.0,0.046875
0.03125,factor_gaussian_lora:seed1167280424:s0.0075:sign1,25.5,0.015625,14.0,39.5,0.046875
0.03125,factor_gaussian_lora:seed2007660583:s0.0075:sign-1,25.5,0.015625,14.0,39.5,0.046875
0.015625,factor_gaussian_lora:seed1970764024:s0.0075:sign-1,25.5,0.0625,14.5,11.0,0.046875
0.015625,factor_gaussian_lora:seed954051228:s0.0075:sign1,25.5,0.03125,0.5,25.0,0.046875
0.0,factor_gaussian_lora:seed1235406039:s0.0075:sign1,25.5,0.046875,9.5,16.0,0.046875
0.015625,factor_gaussian_lora:seed1235406039:s0.0075:sign-1,25.5,0.0625,14.5,11.0,0.046875
0.0,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,38.5,0.03125,13.5,25.0,0.03125
0.03125,factor_gaussian_lora:seed1442006728:s0.0075:sign1,38.5,0.0,17.5,56.0,0.03125
0.015625,factor_gaussian_lora:seed509771609:s0.0075:sign1,38.5,0.046875,22.5,16.0,0.03125
0.015625,factor_gaussian_lora:seed385390264:s0.0075:sign-1,38.5,0.015625,1.0,39.5,0.03125
0.03125,factor_gaussian_lora:seed1825954996:s0.0075:sign-1,38.5,0.0,17.5,56.0,0.03125
0.0,factor_gaussian_lora:seed744368653:s0.0075:sign1,38.5,0.03125,13.5,25.0,0.03125
0.015625,factor_gaussian_lora:seed62625326:s0.0075:sign-1,38.5,0.015625,1.0,39.5,0.03125
0.015625,factor_gaussian_lora:seed283920945:s0.0075:sign1,38.5,0.015625,1.0,39.5,0.03125
0.03125,factor_gaussian_lora:seed1167280424:s0.0075:sign-1,38.5,0.0,17.5,56.0,0.03125
0.0,factor_gaussian_lora:seed63871914:s0.0075:sign-1,38.5,0.03125,13.5,25.0,0.03125
0.0,factor_gaussian_lora:seed1156649635:s0.0075:sign1,38.5,0.03125,13.5,25.0,0.03125
0.015625,factor_gaussian_lora:seed1572200134:s0.0075:sign1,38.5,0.015625,1.0,39.5,0.03125
0.015625,factor_gaussian_lora:seed1772108105:s0.0075:sign-1,38.5,0.015625,1.0,39.5,0.03125
0.015625,factor_gaussian_lora:seed2033087279:s0.0075:sign-1,38.5,0.015625,1.0,39.5,0.03125
0.0,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,49.5,0.015625,10.0,39.5,0.015625
0.0,factor_gaussian_lora:seed744368653:s0.0075:sign-1,49.5,0.015625,10.0,39.5,0.015625
0.015625,factor_gaussian_lora:seed668789807:s0.0075:sign-1,49.5,0.0,6.5,56.0,0.015625
0.0,factor_gaussian_lora:seed2027587152:s0.0075:sign1,49.5,0.015625,10.0,39.5,0.015625
0.015625,factor_gaussian_lora:seed63871914:s0.0075:sign1,49.5,0.03125,24.5,25.0,0.015625
0.015625,factor_gaussian_lora:seed1632697641:s0.0075:sign1,49.5,0.03125,24.5,25.0,0.015625
0.015625,factor_gaussian_lora:seed1411240924:s0.0075:sign-1,49.5,0.03125,24.5,25.0,0.015625
0.0,factor_gaussian_lora:seed2033087279:s0.0075:sign1,49.5,0.015625,10.0,39.5,0.015625
0.0,factor_gaussian_lora:seed1679872250:s0.0075:sign1,59.0,0.0,3.0,56.0,0.0
0.0,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,59.0,0.0,3.0,56.0,0.0
0.03125,factor_gaussian_lora:seed509771609:s0.0075:sign-1,59.0,0.03125,34.0,25.0,0.0
0.015625,factor_gaussian_lora:seed1530295774:s0.0075:sign1,59.0,0.015625,19.5,39.5,0.0
0.0,factor_gaussian_lora:seed385390264:s0.0075:sign1,59.0,0.0,3.0,56.0,0.0
0.0,factor_gaussian_lora:seed62625326:s0.0075:sign1,59.0,0.0,3.0,56.0,0.0
0.0,factor_gaussian_lora:seed1975749735:s0.0075:sign1,59.0,0.0,3.0,56.0,0.0
0.0,factor_gaussian_lora:seed1970764024:s0.0075:sign1,59.0,0.0,3.0,56.0,0.0
0.0,factor_gaussian_lora:seed1407710298:s0.0075:sign1,59.0,0.0,3.0,56.0,0.0
0.0,factor_gaussian_lora:seed1099262776:s0.0075:sign-1,59.0,0.0,3.0,56.0,0.0
0.0,factor_gaussian_lora:seed92382467:s0.0075:sign1,59.0,0.0,3.0,56.0,0.0
